Iter,XOR,NonXOR,Cost
579,1135235,240762,481525
580,1136157,240954,481909
581,1136344,240986,481973
582,1136523,241018,482037
583,1136703,241050,482101
584,1136880,241082,482165
585,1137057,241114,482229
586,1137232,241146,482293
587,1137405,241178,482357
588,1137584,241210,482421
589,1137759,241242,482485
590,1137932,241274,482549
591,1138100,241306,482613
592,1138275,241338,482677
593,1163856,246840,493681
594,1164937,247064,494129
595,1166006,247288,494577
596,1166928,247480,494961
597,1167115,247512,495025
598,1167294,247544,495089
599,1167474,247576,495153
600,1167651,247608,495217
601,1167828,247640,495281
602,1168003,247672,495345
603,1168176,247704,495409
604,1168355,247736,495473
605,1168530,247768,495537
606,1168703,247800,495601
607,1168871,247832,495665
608,1169046,247864,495729
609,1194627,253366,506733
610,1195708,253590,507181
611,1196777,253814,507629
612,1197699,254006,508013
613,1197886,254038,508077
614,1198065,254070,508141
615,1198245,254102,508205
616,1198422,254134,508269
617,1198599,254166,508333
618,1198774,254198,508397
619,1198947,254230,508461
620,1199126,254262,508525
621,1199301,254294,508589
622,1199474,254326,508653
623,1199642,254358,508717
624,1199817,254390,508781
625,1225398,259892,519785
626,1226479,260116,520233
627,1227548,260340,520681
628,1228470,260532,521065
629,1228657,260564,521129
630,1228836,260596,521193
631,1229016,260628,521257
632,1229193,260660,521321
633,1229370,260692,521385
634,1229545,260724,521449
635,1229718,260756,521513
636,1229897,260788,521577
637,1230072,260820,521641
638,1230245,260852,521705
639,1230413,260884,521769
640,1230588,260916,521833
641,1256169,266418,532837
642,1257250,266642,533285
643,1258319,266866,533733
644,1259241,267058,534117
645,1259428,267090,534181
646,1259607,267122,534245
647,1259787,267154,534309
648,1259964,267186,534373
649,1260141,267218,534437
650,1260316,267250,534501
651,1260489,267282,534565
652,1260668,267314,534629
653,1260843,267346,534693
654,1261016,267378,534757
655,1261184,267410,534821
656,1261359,267442,534885
657,1286940,272944,545889
658,1288021,273168,546337
659,1289090,273392,546785
660,1290012,273584,547169
661,1290199,273616,547233
662,1290378,273648,547297
663,1290558,273680,547361
664,1290735,273712,547425
665,1290912,273744,547489
666,1291087,273776,547553
667,1291260,273808,547617
668,1291439,273840,547681
669,1291614,273872,547745
670,1291787,273904,547809
671,1291955,273936,547873
672,1292130,273968,547937
673,1317711,279470,558941
674,1318792,279694,559389
675,1319861,279918,559837
676,1320783,280110,560221
677,1320970,280142,560285
678,1321149,280174,560349
679,1321329,280206,560413
680,1321506,280238,560477
681,1321683,280270,560541
682,1321858,280302,560605
683,1322031,280334,560669
684,1322210,280366,560733
685,1322385,280398,560797
686,1322558,280430,560861
687,1322726,280462,560925
688,1322901,280494,560989
689,1348482,285996,571993
690,1349563,286220,572441
691,1350632,286444,572889
692,1351554,286636,573273
693,1351741,286668,573337
694,1351920,286700,573401
695,1352100,286732,573465
696,1352277,286764,573529
697,1352454,286796,573593
698,1352629,286828,573657
699,1352802,286860,573721
700,1352981,286892,573785
701,1353156,286924,573849
702,1353329,286956,573913
703,1353497,286988,573977
704,1353672,287020,574041
705,1379253,292522,585045
706,1380334,292746,585493
707,1381403,292970,585941
708,1382325,293162,586325
709,1382512,293194,586389
710,1382691,293226,586453
711,1382871,293258,586517
712,1383048,293290,586581
713,1383225,293322,586645
714,1383400,293354,586709
715,1383573,293386,586773
716,1383752,293418,586837
717,1383927,293450,586901
718,1384100,293482,586965
719,1384268,293514,587029
720,1384443,293546,587093
721,1410024,299048,598097
722,1411105,299272,598545
723,1412174,299496,598993
724,1413096,299688,599377
725,1413283,299720,599441
726,1413462,299752,599505
727,1413642,299784,599569
728,1413819,299816,599633
729,1413996,299848,599697
730,1414171,299880,599761
731,1414344,299912,599825
732,1414523,299944,599889
733,1414698,299976,599953
734,1414871,300008,600017
735,1415039,300040,600081
736,1415214,300072,600145
737,1440795,305574,611149
738,1441876,305798,611597
739,1442945,306022,612045
740,1443867,306214,612429
741,1444054,306246,612493
742,1444233,306278,612557
743,1444413,306310,612621
744,1444590,306342,612685
745,1444767,306374,612749
746,1444942,306406,612813
747,1445115,306438,612877
748,1445294,306470,612941
749,1445469,306502,613005
750,1445642,306534,613069
751,1445810,306566,613133
752,1445985,306598,613197
753,1471566,312100,624201
754,1472647,312324,624649
755,1473716,312548,625097
756,1474638,312740,625481
757,1474825,312772,625545
758,1475004,312804,625609
759,1475184,312836,625673
760,1475361,312868,625737
761,1475538,312900,625801
762,1475713,312932,625865
763,1475886,312964,625929
764,1476065,312996,625993
765,1476240,313028,626057
766,1476413,313060,626121
767,1476581,313092,626185
768,1476756,313124,626249
769,1502337,318626,637253
770,1503418,318850,637701
771,1504487,319074,638149
772,1505409,319266,638533
773,1505596,319298,638597
774,1505775,319330,638661
775,1505955,319362,638725
776,1506132,319394,638789
777,1506309,319426,638853
778,1506484,319458,638917
779,1506657,319490,638981
780,1506836,319522,639045
781,1507011,319554,639109
782,1507184,319586,639173
783,1507352,319618,639237
784,1507527,319650,639301
785,1533108,325152,650305
786,1534189,325376,650753
787,1535258,325600,651201
788,1536180,325792,651585
789,1536367,325824,651649
790,1536546,325856,651713
791,1536726,325888,651777
792,1536903,325920,651841
793,1537080,325952,651905
794,1537255,325984,651969
795,1537428,326016,652033
796,1537607,326048,652097
797,1537782,326080,652161
798,1537955,326112,652225
799,1538123,326144,652289
800,1538298,326176,652353
801,1563879,331678,663357
802,1564960,331902,663805
803,1566029,332126,664253
804,1566951,332318,664637
805,1567138,332350,664701
806,1567317,332382,664765
807,1567497,332414,664829
808,1567674,332446,664893
809,1567851,332478,664957
810,1568026,332510,665021
811,1568199,332542,665085
812,1568378,332574,665149
813,1568553,332606,665213
814,1568726,332638,665277
815,1568894,332670,665341
816,1569069,332702,665405
817,1594650,338204,676409
818,1595731,338428,676857
819,1596800,338652,677305
820,1597722,338844,677689
821,1597909,338876,677753
822,1598088,338908,677817
823,1598268,338940,677881
824,1598445,338972,677945
825,1598622,339004,678009
826,1598797,339036,678073
827,1598970,339068,678137
828,1599149,339100,678201
829,1599324,339132,678265
830,1599497,339164,678329
831,1599665,339196,678393
832,1599840,339228,678457
833,1625421,344730,689461
834,1626502,344954,689909
835,1627571,345178,690357
836,1628493,345370,690741
837,1628680,345402,690805
838,1628859,345434,690869
839,1629039,345466,690933
840,1629216,345498,690997
841,1629393,345530,691061
842,1629568,345562,691125
843,1629741,345594,691189
844,1629920,345626,691253
845,1630095,345658,691317
846,1630268,345690,691381
847,1630436,345722,691445
848,1630611,345754,691509
849,1656192,351256,702513
850,1657273,351480,702961
851,1658342,351704,703409
852,1659264,351896,703793
853,1659451,351928,703857
854,1659630,351960,703921
855,1659810,351992,703985
856,1659987,352024,704049
857,1660164,352056,704113
858,1660339,352088,704177
859,1660512,352120,704241
860,1660691,352152,704305
861,1660866,352184,704369
862,1661039,352216,704433
863,1661207,352248,704497
864,1661382,352280,704561
865,1686963,357782,715565
866,1688044,358006,716013
867,1689113,358230,716461
868,1690035,358422,716845
869,1690222,358454,716909
870,1690401,358486,716973
871,1690581,358518,717037
872,1690758,358550,717101
873,1690935,358582,717165
874,1691110,358614,717229
875,1691283,358646,717293
876,1691462,358678,717357
877,1691637,358710,717421
878,1691810,358742,717485
879,1691978,358774,717549
880,1692153,358806,717613
881,1717734,364308,728617
882,1718815,364532,729065
883,1719884,364756,729513
884,1720806,364948,729897
885,1720993,364980,729961
886,1721172,365012,730025
887,1721352,365044,730089
888,1721529,365076,730153
889,1721706,365108,730217
890,1721881,365140,730281
891,1722054,365172,730345
892,1722233,365204,730409
893,1722408,365236,730473
894,1722581,365268,730537
895,1722749,365300,730601
896,1722924,365332,730665
897,1748505,370834,741669
898,1749586,371058,742117
899,1750655,371282,742565
900,1751577,371474,742949
901,1751764,371506,743013
902,1751943,371538,743077
903,1752123,371570,743141
904,1752300,371602,743205
905,1752477,371634,743269
906,1752652,371666,743333
907,1752825,371698,743397
908,1753004,371730,743461
909,1753179,371762,743525
910,1753352,371794,743589
911,1753520,371826,743653
912,1753695,371858,743717
913,1779276,377360,754721
914,1780357,377584,755169
915,1781426,377808,755617
916,1782348,378000,756001
917,1782535,378032,756065
918,1782714,378064,756129
919,1782894,378096,756193
920,1783071,378128,756257
921,1783248,378160,756321
922,1783423,378192,756385
923,1783596,378224,756449
924,1783775,378256,756513
925,1783950,378288,756577
926,1784123,378320,756641
927,1784291,378352,756705
928,1784466,378384,756769
929,1810047,383886,767773
930,1811128,384110,768221
931,1812197,384334,768669
932,1813119,384526,769053
933,1813306,384558,769117
934,1813485,384590,769181
935,1813665,384622,769245
936,1813842,384654,769309
937,1814019,384686,769373
938,1814194,384718,769437
939,1814367,384750,769501
940,1814546,384782,769565
941,1814721,384814,769629
942,1814894,384846,769693
943,1815062,384878,769757
944,1815237,384910,769821
945,1840818,390412,780825
946,1841899,390636,781273
947,1842968,390860,781721
948,1843890,391052,782105
949,1844077,391084,782169
950,1844256,391116,782233
951,1844436,391148,782297
952,1844613,391180,782361
953,1844790,391212,782425
954,1844965,391244,782489
955,1845138,391276,782553
956,1845317,391308,782617
957,1845492,391340,782681
958,1845665,391372,782745
959,1845833,391404,782809
960,1846008,391436,782873
961,1871589,396938,793877
962,1872670,397162,794325
963,1873739,397386,794773
964,1874661,397578,795157
965,1874848,397610,795221
966,1875027,397642,795285
967,1875207,397674,795349
968,1875384,397706,795413
969,1875561,397738,795477
970,1875736,397770,795541
971,1875909,397802,795605
972,1876088,397834,795669
973,1876263,397866,795733
974,1876436,397898,795797
975,1876604,397930,795861
976,1876779,397962,795925
977,1902360,403464,806929
978,1903441,403688,807377
979,1904510,403912,807825
980,1905432,404104,808209
981,1905619,404136,808273
982,1905798,404168,808337
983,1905978,404200,808401
984,1906155,404232,808465
985,1906332,404264,808529
986,1906507,404296,808593
987,1906680,404328,808657
988,1906859,404360,808721
989,1907034,404392,808785
990,1907207,404424,808849
991,1907375,404456,808913
992,1907550,404488,808977
993,1933131,409990,819981
994,1934212,410214,820429
995,1935281,410438,820877
996,1936203,410630,821261
997,1936390,410662,821325
998,1936569,410694,821389
999,1936749,410726,821453
1000,1936926,410758,821517
1001,1937103,410790,821581
1002,1937278,410822,821645
1003,1937451,410854,821709
1004,1937630,410886,821773
1005,1937805,410918,821837
1006,1937978,410950,821901
1007,1938146,410982,821965
1008,1938321,411014,822029
1009,1963902,416516,833033
1010,1964983,416740,833481
1011,1966052,416964,833929
1012,1966974,417156,834313
1013,1967161,417188,834377
1014,1967340,417220,834441
1015,1967520,417252,834505
1016,1967697,417284,834569
1017,1967874,417316,834633
1018,1968049,417348,834697
1019,1968222,417380,834761
1020,1968401,417412,834825
1021,1968576,417444,834889
1022,1968749,417476,834953
1023,1968917,417508,835017
1024,1969092,417540,835081
